lesson 1 - 자기소개	Lesson 1 - Self-Introduction
회사 앞에서 기다릴게요.	I’ll wait in front of the company.
숙제 열심히 할게요.	I’ll do my homework diligently.
lesson 12 - 취미	Hobbies
축구	soccer
축구를 해요.	I play soccer.
야구	baseball
야구를 좋아해요.	I like baseball.
농구	basketball
농구를 해요.	I play basketball.
배구	volleyball
배구를 해요.	I play volleyball.
수영	swimming
수영을 할 수 있어요.	I can swim.
요가	yoga
요가를 해요.	I do yoga.
골프	golf
골프를 쳐요.	I play golf.
탁구	table tennis
탁구를 쳐요.	I play table tennis.
테니스	tennis
테니스를 쳐요.	I play tennis.
볼링	bowling
볼링을 쳐요.	I bowl.
스키	skiing
겨울에 스키를 타요.	I ski in winter.
스케이트	skating
스케이트를 타요.	I skate.
요리하다	to cook
저는 요리하는 것을 좋아해요.	I like cooking.
게임하다	to play games
게임하는 것을 좋아해요.	I like playing games.
그림을 그리다	to draw
그림을 그리는 것을 좋아해요.	I like drawing.
음악을 듣다	to listen to music
음악을 듣는 것을 좋아해요.	I like listening to music.
사진을 찍다	to take photos
사진을 찍는 것을 좋아해요.	I like taking photos.
영화를 보다	to watch movies
영화를 보는 것을 좋아해요.	I like watching movies.
등산하다	to hike
등산하는 것을 좋아해요.	I like hiking.
노래하다	to sing
노래하는 것을 좋아해요.	I like singing.
여행하다	to travel
여행하는 것을 좋아해요.	I like traveling.
우표를 모으다	to collect stamps
우표를 모으는 것이 취미예요.	Collecting stamps is my hobby.
춤추다	to dance
춤추는 것을 좋아해요.	I like dancing.
그림을 그리는 것	drawing pictures
그림을 그리는 것을 좋아해요.	I like drawing pictures.
수영을 못 해요.	I can’t swim.
농구보다 축구를 더 좋아해요.	I like soccer more than basketball.
하루에 한 번 커피를 마셔요.	I drink coffee once a day.
일주일에 세 번 한국어를 공부해요.	I study Korean three times a week.
1년에 두 번 여행해요.	I travel twice a year.
lesson 13 - 가족	Family
할아버지	grandfather (paternal)
할아버지께서 산책하세요.	Grandfather takes a walk.
할머니	grandmother (paternal)
할머니께서 요리하세요.	Grandmother cooks.
외할아버지	grandfather (maternal)
외할아버지께서 집에 계세요.	Maternal grandfather is at home.
외할머니	grandmother (maternal)
외할머니께서 텔레비전을 보세요.	Maternal grandmother watches TV.
아버지	father
아버지가 회사에 가세요.	Father goes to work.
어머니	mother
어머니가 시장에 가세요.	Mother goes to the market.
누나	older sister (for male)
누나가 공부해요.	Older sister studies.
언니	older sister (for female)
언니가 노래해요.	Older sister sings.
형	older brother (for male)
형이 운동해요.	Older brother exercises.
오빠	older brother (for female)
오빠가 운전해요.	Older brother drives.
나	I / me
나는 학생이에요.	I am a student.
저	I / me (formal)
저는 대학생이에요.	I am a university student.
남동생	younger brother
남동생이 게임해요.	Younger brother plays games.
여동생	younger sister
여동생이 책을 읽어요.	Younger sister reads a book.
남편	husband
남편이 요리해요.	Husband cooks.
아내	wife
아내가 일해요.	Wife works.
아들	son
아들이 학교에 가요.	Son goes to school.
딸	daughter
딸이 춤을 춰요.	Daughter dances.
아버님	father (honorific)
아버님께서 주무세요.	Father is sleeping.
할아버님	grandfather (honorific)
할아버님께서 말씀하셨어요.	Grandfather spoke.
선생님께서	teacher (subject, honorific)
선생님께서 오셨어요.	The teacher came.
성함	name (honorific)
성함이 어떻게 되세요?	What is your name?
댁	house (honorific)
댁에 계세요.	He/She is at home.
생신	birthday (honorific)
오늘은 아버님의 생신이에요.	Today is father's birthday.
연세	age (honorific)
할머니의 연세가 많으세요.	Grandmother is old.
분	person (honorific)
두 분이 오셨어요.	Two people came.
드시다	to eat/drink (honorific)
할아버지께서 식사를 드세요.	Grandfather eats a meal.
주무시다	to sleep (honorific)
아버님께서 주무세요.	Father is sleeping.
계시다	to be (existence, honorific)
할머니께서 집에 계세요.	Grandmother is at home.
안 계시다	to not be (honorific)
아버님께서 안 계세요.	Father is not here.
드리다	to give (to elder)
어머님께 선물을 드렸어요.	I gave a gift to my mother.
받으시다	to receive (from elder)
할아버님께서 선물을 받으셨어요.	Grandfather received a gift.
돌아가시다	to pass away (honorific)
할아버님께서 돌아가셨어요.	Grandfather passed away.
말씀하시다	to speak (honorific)
선생님께서 말씀하셨어요.	The teacher spoke.
뵙다	to see (honorific)
선생님을 뵈었어요.	I met the teacher.
수미의 오빠예요.	He is Sumi’s older brother.
아버님께서 주무세요.	Father is sleeping.
선생님께서 말씀하셨어요.	The teacher spoke.
할아버님께서 돌아가셨어요.	Grandfather passed away.
어머님께 선물을 드렸어요.	I gave a gift to my mother.
선생님을 뵈었어요.	I met the teacher.
lesson 14 - 우체국과 은행	Post Office & Bank
편지	letter
편지를 썼어요.	I wrote a letter.
봉투	envelope
봉투에 편지를 넣었어요.	I put the letter in the envelope.
우표	stamp
우표를 붙였어요.	I put on a stamp.
소포	parcel
소포를 보냈어요.	I sent a parcel.
우편물	mail item
우편물을 받았어요.	I received mail.
우체통	mailbox
우체통에 편지를 넣었어요.	I put the letter in the mailbox.
우체부	mail carrier
우체부가 우편물을 배달해요.	The mail carrier delivers the mail.
주소	address
주소를 썼어요.	I wrote the address.
우편번호	postal code
우편번호를 확인했어요.	I checked the postal code.
붙이다	to stick (a stamp)
우표를 붙였어요.	I stuck a stamp.
보내다	to send
소포를 보냈어요.	I sent a parcel.
무게를 재다	to weigh
소포의 무게를 쟀어요.	I weighed the parcel.
현금	cash
현금으로 계산했어요.	I paid in cash.
계좌번호	account number
계좌번호를 적었어요.	I wrote the account number.
ATM	ATM machine
ATM에서 돈을 찾았어요.	I withdrew money from the ATM.
지폐	paper money
지폐를 세었어요.	I counted the paper money.
동전	coin
동전을 모아요.	I collect coins.
수표	check
수표로 돈을 받았어요.	I received money by check.
돈을 찾다	to withdraw money
은행에서 돈을 찾았어요.	I withdrew money at the bank.
통장	bankbook
통장을 만들었어요.	I made a bankbook.
환전하다	to exchange money
은행에서 환전했어요.	I exchanged money at the bank.
서명하다	to sign
서명했어요.	I signed.
돈을 찾습니다.	I withdraw money.
소포를 보냅니까?	Are you sending a parcel?
주소를 쓰십시오.	Please write the address.
소포를 저울 위에 놓으십시오.	Please place the parcel on the scale.
함께 한국어를 공부합시다.	Lет’s study Korean together.
같이 점심을 먹읍시다.	Lет’s eat lunch together.
lesson 15 - 약국	Pharmacy
이마	forehead
이마에 땀이 났어요.	There was sweat on my forehead.
눈썹	eyebrow
눈썹이 진해요.	My eyebrows are thick.
눈	eye
눈이 아파요.	My eyes hurt.
코	nose
코가 막혔어요.	My nose is blocked.
입	mouth
입을 벌리세요.	Open your mouth.
입술	lips
입술이 건조해요.	My lips are dry.
가슴	chest
가슴이 답답해요.	I feel tightness in my chest.
손 / 손가락	hand / finger
손가락이 아파요.	My finger hurts.
배	stomach
배가 아파요.	My stomach hurts.
머리	head
머리가 아파요.	I have a headache.
귀	ear
귀가 아파요.	My ear hurts.
턱	chin
턱이 아파요.	My chin hurts.
어깨	shoulder
어깨가 아파요.	My shoulder hurts.
목	neck
목이 아파요.	My neck hurts.
팔	arm
팔이 아파요.	My arm hurts.
다리 / 발	leg / foot
다리가 아파요.	My leg hurts.
발가락	toe
발가락이 아파요.	My toe hurts.
허리	waist
허리가 아파요.	My waist hurts.
등	back
등이 아파요.	My back hurts.
엉덩이	hip
엉덩이가 아파요.	My hip hurts.
감기	cold
감기에 걸렸어요.	I caught a cold.
기침	cough
기침이 나요.	I have a cough.
열	fever
열이 있어요.	I have a fever.
콧물	runny nose
콧물이 나요.	I have a runny nose.
소화가 안 되다	indigestion
소화가 안 돼요.	I have indigestion.
설사	diarrhea
설사가 났어요.	I have diarrhea.
구토	vomiting
구토를 했어요.	I vomited.
약	medicine
약을 먹어요.	I take medicine.
감기약	cold medicine
감기약을 샀어요.	I bought cold medicine.
해열제	fever reducer
해열제를 먹었어요.	I took a fever reducer.
소화제	digestive medicine
소화제를 먹었어요.	I took digestive medicine.
진통제	painkiller
진통제를 먹었어요.	I took a painkiller.
약을 먹다	to take medicine
약을 먹었어요.	I took medicine.
여기 앉아도 돼요?	May I sit here?
박물관에서 사진을 찍어도 돼요?	May I take pictures in the museum?
아이스크림을 먹으면 안 돼요.	You must not eat ice cream.
교실에서 군것질하면 안 돼요.	You must not eat snacks in class.
담배를 피우지 마세요.	Don’t smoke.
창문을 열지 마십시오.	Please don’t open the window.
책을 읽은 후에 빌려줄게요.	I’ll lend the book after reading it.
손을 씻은 후에 밥을 먹어요.	I eat after washing my hands.
자기 전에 피부 관리를 해요.	I take care of my skin before sleeping.
밥 먹기 전에 손을 씻어요.	I wash my hands before eating.
